collection_no,occurrence_no,accepted_name,early_interval,late_interval,max_ma,min_ma,plng,plat,MAT,seasonal_temp,MAP,seasonal_precip
61891,587356,Rhamphorhynchidae,Bathonian,NA,168.2,165.3,86.2459309583358,57.7902580215527,7.095028177897152,46.9676208496094,1.704878938350398e-5,1.795622483768962e-5
53148,587369,Ornithocheiridae,Barremian,Aptian,125.77,113,87.3338013895746,55.8553710787391,12.870322163899763,46.74206542968753,1.4123085634309954e-5,2.5490697453278658e-5
58196,587378,Ornithocheiridae,Valanginian,NA,139.8,132.6,105.30576301123,53.7866879553504,6.528496042887392,51.8941192626953,1.1014812609270543e-5,1.22031356113439e-5
47056,587962,Rhamphorhynchidae,Late Oxfordian,Kimmeridgian,157.9,149.2,89.7633887432165,44.4336506339299,19.118124898274765,51.43841552734373,8.820421498967338e-6,1.175434681499606e-5
61930,587983,Pterodactyloidea,Early Berriasian,Middle Berriasian,145,140.6,9.14445401073657,36.9923071595302,21.687992350260444,14.732269287109402,2.0713626402842543e-5,2.5777354494494e-5
39680,588016,Ornithocheiridae,Aptian,NA,121.4,113,82.5686157925779,54.3361679845491,9.885840352376317,47.814971923828104,1.4598503128127055e-5,2.275978590660089e-5
46875,589424,Pterosauria,Late Barremian,NA,125.77,121.4,9.62927821841494,40.6544744846352,21.49632924397787,26.1749267578125,3.314105015306267e-5,2.33128303079866e-5
65421,610405,Pterosauria,Early Cenomanian,NA,100.5,93.9,0.383863911892742,35.496522959777,28.420439656575535,11.7198791503906,2.4804511895126776e-5,4.696662654168907e-5
67611,626783,Pterodactyloidea,Late Barremian,Early Aptian,125.77,119.5,122.41200462413,43.4900028679728,16.812099711100277,42.56231689453125,2.6489483692178815e-5,3.05641169688897e-5
67895,630027,Eudimorphodon,Rhaetian,NA,208.5,201.4,8.0011814179051,35.5732204254483,26.95032908121747,37.95889282226565,6.387503863910148e-6,8.5773438058823e-6
36106,630464,Eudimorphodon,Rhaetian,NA,208.5,201.4,8.54204733261957,34.7264485051836,26.95032908121747,37.95889282226565,6.387503863910148e-6,8.5773438058823e-6
28401,632111,Pterosauria,Early Berriasian,Middle Berriasian,145,140.6,7.52644109535304,41.8031543590896,19.12261352539064,36.345428466796854,3.244287518100463e-5,4.48340333605302e-5
68316,635029,Dorygnathus banthensis,Early Toarcian,NA,184.2,182.9,14.5519375162756,37.1130785066074,24.079181925455746,34.0648193359375,1.867377886810573e-5,5.741216227761399e-6
68334,635142,Austriadactylus cristatus,Sevatian,NA,213.2,208.5,14.8893357373399,27.8557471615862,28.82405751546225,7.524261474609297,2.2497164877677268e-5,7.309850002457101e-5
68401,635865,Pterosauria,Valanginian,Albian,139.8,100.5,89.6463734532227,44.4153584641527,16.28840789794923,49.69671630859373,1.0838776158076746e-5,1.4103971807344298e-5
68472,636415,Pteraichnus,Early Berriasian,NA,145,142.7,7.74136694078903,33.5914545403981,18.97500000000002,21.034881591796832,3.542692563011466e-5,4.92690978717292e-5
69698,645206,Rhamphorhynchus,Middle Oxfordian,NA,161.5,154.8,2.01716550422609,33.9391316838129,20.688452657063817,21.944854736328097,2.9378167861674832e-5,2.00302347366233e-5
24563,645239,Pterodactylus,Kimmeridgian,NA,154.8,149.2,1.04171721992567,34.4863294997657,23.162578837076826,13.25146484375,2.29407802028921e-5,4.496109340834663e-5
24563,645240,Rhamphorhynchus,Kimmeridgian,NA,154.8,149.2,1.04171721992567,34.4863294997657,23.162578837076826,13.25146484375,2.29407802028921e-5,4.496109340834663e-5
70140,649360,Tapejaroidea,Early Cretaceous,NA,145,100.5,103.445140743968,44.7955847473687,12.791736857096364,46.9495544433593,1.8036136680166234e-5,1.5203081602521701e-5
58701,659309,Azhdarchidae,Early Santonian,NA,86.3,83.6,63.8220563522494,35.0527490394086,26.13189595540366,29.471405029296903,1.8581530677389927e-5,2.4799274342512982e-5
58594,659310,Azhdarchidae,Late Turonian,Coniacian,93.9,86.3,57.2687766220472,40.9940804288511,24.02933146158855,12.0151062011718,3.068297414188237e-5,7.910083911610859e-5
58594,659311,Azhdarchidae,Late Turonian,Coniacian,93.9,86.3,57.2687766220472,40.9940804288511,24.02933146158855,12.0151062011718,3.068297414188237e-5,7.910083911610859e-5
58594,659312,Azhdarchidae,Late Turonian,Coniacian,93.9,86.3,57.2687766220472,40.9940804288511,24.02933146158855,12.0151062011718,3.068297414188237e-5,7.910083911610859e-5
58594,659313,Pterosauria,Late Turonian,Coniacian,93.9,86.3,57.2687766220472,40.9940804288511,24.02933146158855,12.0151062011718,3.068297414188237e-5,7.910083911610859e-5
53134,659314,Aralazhdarcho bostobensis,Santonian,Early Campanian,86.3,72.1,58.479049576985,38.5391936980403,23.328062947591143,24.2138061523437,1.7038774103639298e-5,3.280508894931695e-5
71476,663692,Pterosauria,Early Tithonian,NA,149.2,146.3,-61.4713290171747,35.8031463644334,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
47070,667087,Dsungaripteridae,Berriasian,Valanginian,145,132.6,120.079869654292,36.8306320466089,19.046416219075528,44.607391357421825,6.867992794923337e-6,1.2749409961543252e-5
71847,667088,Dsungaripteridae,Valanginian,Albian,139.8,100.5,88.4664741450634,43.0465533008497,22.060385640462254,51.652862548828075,4.903460601705474e-6,9.775583635018881e-6
62311,690297,Dromomeron romeri,Lacian,Sevatian,227,208.5,-48.9156971753923,11.6041488206917,37.41963348388674,15.528900146484297,1.6068300882447297e-6,7.052862317280527e-6
74202,690298,Dromomeron romeri,Norian,NA,227,208.5,-48.9187030368825,11.5967260869855,37.41963348388674,15.528900146484297,1.6068300882447297e-6,7.052862317280527e-6
13175,690342,Pterosauria,Carnian,NA,237,227,5.0858223314359,23.4183682544701,35.339240010579445,27.5296936035157,2.151291672210694e-6,4.216010211166581e-6
13183,690348,Pterosauria,Carnian,NA,237,227,5.0858223314359,23.4183682544701,35.339240010579445,27.5296936035157,2.151291672210694e-6,4.216010211166581e-6
